Nom point,Type point,Réussites,Essais,Date,Timestamp,Commentaire
Position 1,Rappel de long,1,1,2023-08-12,2023-08-12 16:00:48.198762,RAS
Gretillat Position 61,Rappel de long,3,10,2023-08-16,2023-08-16 11:07:23.427407,RAS
Gretillat Position 62,Rappel de long,1,20,2023-08-16,2023-08-16 11:18:44.697462,RAS
Gretillat Position 63,Rappel de long,0,13,2023-08-16,2023-08-16 11:28:56.467519,RAS
Gretillat Position 64,Rappel de long,3,10,2023-08-16,2023-08-16 11:34:07.133100,RAS
Gretillat Position 65,Rappel de long,4,10,2023-08-16,2023-08-16 11:39:09.511442,RAS
Gretillat Position 66,Rappel de long,0,5,2023-08-16,2023-08-16 11:42:04.443716,RAS
Gretillat Position 67,Rappel de long,6,10,2023-08-16,2023-08-16 11:46:33.817413,RAS
Gretillat Position 7,Rappel de large,1,10,2023-08-22,2023-08-22 09:50:53.141300,RAS
Gretillat Position 8,Rappel de large,4,10,2023-08-22,2023-08-22 09:54:54.746288,RAS
Gretillat Position 9,Rappel de large,5,10,2023-08-22,2023-08-22 09:59:15.601134,RAS
Gretillat Position 10,Rappel de large,3,10,2023-08-22,2023-08-22 10:04:34.947245,RAS
Gretillat Position 11,Rappel de large,2,10,2023-08-22,2023-08-22 10:10:15.329261,RAS
Gretillat Position 12,Rappel de large,1,10,2023-08-22,2023-08-22 10:15:35.811945,Mal positionné sur 2.80
Gretillat Position 13,Rappel de large,1,10,2023-08-22,2023-08-22 10:20:45.585893,Mal positionné sur 2.80
Gretillat Position 14,Rappel de large,8,10,2023-08-22,2023-08-22 10:24:49.176711,Ras
Gretillat Position 16,Rappel de large,5,10,2023-08-22,2023-08-22 10:28:37.951679,Ras
Gretillat Position 15,Rappel de large,5,10,2023-08-22,2023-08-22 10:33:36.034652,Ras
Gretillat Position 1,Rappel de large,1,1,2023-08-23,2023-08-23 08:20:07.176753,RAS
Gretillat Position 1,Rappel de large,1,1,2023-08-23,2023-08-23 08:20:15.742981,RAS
Gretillat Position 1,Rappel de large,1,3,2023-08-23,2023-08-23 08:20:24.064869,RAS
Gretillat Position 1,Rappel de large,1,5,2023-08-23,2023-08-23 08:20:30.070943,RAS
Gretillat Position 1,Rappel de large,1,1,2023-08-23,2023-08-23 08:20:41.436197,RAS
Gretillat Position 1,Rappel de large,1,1,2023-08-23,2023-08-23 08:20:42.612199,RAS
Gretillat Position 1,Rappel de large,5,10,2023-08-23,2023-08-23 08:20:51.078375,RAS
